address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url
40 Stephen Street,Blacktown,2148,House,5,3,3,338,1350000,2026-09-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
1 Huntley Drive,Blacktown,2148,Townhouse,3,2,1,,765000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
25/8-10 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,109,415000,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
17 St Pauls Way,Blacktown,2148,Townhouse,3,2,1,,828000,2026-09-15,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
3/130 Newton Road,Blacktown,2148,Townhouse,2,1,1,156,700000,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
4 & 4A Joseph Street,Blacktown,2148,House,5,2,5,713,1340000,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
3/28 Frederick Street,Blacktown,2148,Townhouse,2,1,1,,732500,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
42 Burke Street,Blacktown,2148,House,5,3,6,,1260000,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
20/5-9 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,,441000,2026-09-10,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
36/2-4 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,3733,415000,2026-09-10,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
13/8-18 Wallace Street,Blacktown,2148,Apartment,2,2,1,,463000,2026-09-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
9 Cardiff Street,Blacktown,2148,House,5,2,2,556,1089000,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
52 Balmoral Street,Blacktown,2148,House,4,1,1,696,1300000,2026-09-08,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
9 Kirkman Road,Blacktown,2148,House,4,1,2,638,1070000,2026-09-03,Sold prior to auction,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
11/130 Main Street,Blacktown,2148,Apartment,1,1,1,,375000,2026-09-02,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/
