address,suburb,postcode,property_type,beds,baths,parking,land_size_m2,sold_price,sold_date,sale_method,source_site,source_url,total_rooms,bath_per_bed,has_land_data,log_land_size,land_per_bed,has_parking,months_since_start,is_auction
40 Stephen Street,Blacktown,2148,House,5,3,3,338.0,1350000.0,2026-09-17,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,8,0.6,1,5.82600010738045,67.6,1,3.75,0
1 Huntley Drive,Blacktown,2148,Townhouse,3,2,1,,765000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,5,0.6666666666666666,0,0.0,0.0,1,3.71,0
25/8-10 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,,415000.0,2026-09-16,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,3,0.5,0,0.0,0.0,1,3.71,0
17 St Pauls Way,Blacktown,2148,Townhouse,3,2,1,,828000.0,2026-09-15,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,5,0.6666666666666666,0,0.0,0.0,1,3.68,0
3/130 Newton Road,Blacktown,2148,Townhouse,2,1,1,,700000.0,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,3,0.5,0,0.0,0.0,1,3.65,0
4 & 4A Joseph Street,Blacktown,2148,House,5,2,5,713.0,1340000.0,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,7,0.4,1,6.570882962339584,142.6,1,3.65,0
3/28 Frederick Street,Blacktown,2148,Townhouse,2,1,1,,732500.0,2026-09-14,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,3,0.5,0,0.0,0.0,1,3.65,0
42 Burke Street,Blacktown,2148,House,5,3,6,,1260000.0,2026-09-11,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,8,0.6,0,0.0,0.0,1,3.55,0
20/5-9 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,,441000.0,2026-09-10,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,3,0.5,0,0.0,0.0,1,3.52,0
36/2-4 Fourth Avenue,Blacktown,2148,Apartment,2,1,1,,415000.0,2026-09-10,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,3,0.5,0,0.0,0.0,1,3.52,0
13/8-18 Wallace Street,Blacktown,2148,Apartment,2,2,1,,463000.0,2026-09-09,Private treaty,domain.com.au,https://www.domain.com.au/sold-listings/blacktown-nsw-2148/,4,1.0,0,0.0,0.0,1,3.48,0
