Model,seed,MAE,RMSE,MAPE_%,R2_log
Ridge,0,313489.5333734575,827884.6865839453,16.696603330521008,0.9001692552124376
Ridge,1,318097.7710109039,877941.2689486087,16.3075239860813,0.8981768873724977
Ridge,7,349863.473147781,926215.7418067778,17.68251432841813,0.8849418365532981
Ridge,42,334459.6604601282,868336.7757322143,17.212379204626682,0.8953867921997695
Ridge,2024,334623.33489995584,901187.0095790463,16.945533349827322,0.896156731294193
Random Forest,0,311203.4829337201,793942.0688516005,17.293580846043238,0.8939239284801517
Random Forest,1,314673.0081055088,815528.82516317,15.903236552917255,0.9047776234263
Random Forest,7,316303.6830816978,856757.3497810761,15.893905179380214,0.9008395765047373
Random Forest,42,302353.9516023273,817545.0156513633,15.5616431088004,0.9062843285849718
Random Forest,2024,319909.2466471268,822205.7084087436,16.595196605860547,0.90495963514082
Gradient Boosting,0,307672.3960640732,764619.3052626018,16.539243514640372,0.9079157211154724
Gradient Boosting,1,304313.6824527041,746755.489683018,15.69732761131886,0.9165900270593956
Gradient Boosting,7,327051.1515480311,852219.9334798662,15.825959663635022,0.9035374113497746
Gradient Boosting,42,301644.98283372645,839853.514910033,15.318060918335908,0.907433819158885
Gradient Boosting,2024,320355.05612199043,786420.390611046,16.279924883275086,0.9156354519035055
